wrote 330
165622 01-01 | Who will Chelsea appoint as its next permanent head coach by January 31, 2026?
227432 01-01 | Who will Volodymyr Zelenskyy nominate as Ukraine's defence minister by January 31, 2026?
628026 01-01 | What town outside Charlotte, North Carolina, will authorities name by January 2026 as the planned location of the alleged New Year's Eve attack?
892867 01-01 | Which Austrian alpine skier will be ruled out of the Milano Cortina Winter Olympics after a training crash, by 2 January 2026?
93950 01-01 | Which U.S. state will report that its measles outbreak has grown to 185 cases by January 2026?
468637 01-02 | What country will Bangladesh ask the ICC to move its 2026 Men’s T20 World Cup matches to by 7 January 2026?
651727 01-02 | Who will be sworn in as Venezuela’s interim president by January 2026?
343689 01-03 | Which Morocco player will be out of the tournament with a calf injury before the quarterfinal against Cameroon on January 9, 2026?
935533 01-03 | Which country will receive free Starlink broadband service through February 3, 2026, according to SpaceX?
709715 01-04 | Who will Volodymyr Zelenskyy appoint as Ukraine's economic development adviser by January 6, 2026?
369962 01-05 | Which armed group will Syria name as the target of a military operation in Aleppo by 31 January 2026?
433526 01-05 | Which Iranian military complex will satellite imagery show by February 19, 2026, to contain a newly built facility hidden under a concrete protective shield?
630728 01-05 | Who will Denmark and Greenland request a meeting with by January 13, 2026, over the Greenland dispute?
703511 01-05 | Which team will knock DR Congo out of AFCON 2025 in January 2026?
814175 01-05 | What country will British MPs urge global sporting authorities to exclude from hosting the 2026 FIFA World Cup by January 2026?
915183 01-05 | Which US state will officials describe as the site of the largest federal immigration enforcement operation ever carried out by January 25, 2026?
278197 01-06 | Which federal agency will be identified as employing the agents accused in the fatal shooting of a woman in Minneapolis by 31 January 2026?
857643 01-06 | What peace body will Qatar's prime minister say Qatar has been invited to join in January 2026?
269293 01-07 | Where will Danish and Greenlandic diplomats visit for talks with senior U.S. officials on Greenland by January 14, 2026?
822586 01-07 | Where will Mark Carney travel immediately after Beijing on his international trip in January 2026?
85534 01-07 | What will the NATO Arctic mission involving Swedish patrols over Greenland be called by February 14, 2026?
423343 01-08 | Where will Israeli forces raid a Palestinian wedding ceremony and detain several men, as reported by January 11, 2026?
567250 01-08 | By January 10, 2026, which country’s embassy in Kyiv will report it was damaged during attacks?
787699 01-08 | Which party will lead the National Institute of Development Administration's party-list poll released on January 30, 2026, ahead of Thailand's February 8, 2026 election?
812287 01-08 | Which aircraft carrier will U.S. media report was diverted from maneuvers in the South China Sea to the Middle East by January 31, 2026?
836984 01-08 | Which Ukrainian city will Russia say it struck with an Oreshnik missile by January 2026?
45659 01-09 | Which country will become the first in the world to formally ban the AI chatbot Grok by 12 January 2026?
